Ciudad;Fecha;Hora;EstadoDelCielo;Visibilidad;Temperatura;PuntoRocio;Humedad;Viento;Presion
Azul;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;5 km;9.4;8.9; 98;Norte  5;996.4 / 
 Bahía Blanca;25-julio-2025;08:00;Algo nublado;15 km;8.4;5.3; 91;Noroeste  20;1002.6 / 
 Benito Juárez;24-julio-2025;21:00;Nublado;12 km;9.5;7.3; 86;Norte  14;990.6 / 
 Bolívar;25-julio-2025;08:00;Cubierto;15 km;9.6;No se calcula; 94;Este  3;1002.8 / 
 Campo de Mayo;24-julio-2025;21:00;Algo nublado;10 km;10;7.9; 88;Noreste  14;1014.6 / 
 Coronel Suarez;25-julio-2025;06:00;Cubierto;12 km;8.2;6.3; 97;Norte  11;985 / 
 Dolores;25-julio-2025;08:00;Nublado con llovizna y lluvia;7 km;10;No se calcula; 98;Norte  3;1014.2 / 
 El Palomar;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;10 km;11.4;No se calcula; 91;Norte  3;1012.6 / 
 Ezeiza;25-julio-2025;08:00;Nublado con lluvia;5 km;11.7;No se calcula; 93;Noreste  9;1011.7 / 
 Junín;25-julio-2025;08:00;Cubierto;10 km;10.8;No se calcula; 89;Norte  5;1003.6 / 
 La Plata;25-julio-2025;08:00;Nublado con tormenta;8 km;11.2;No se calcula; 98;Norte  7;1012.4 / 
 Las Flores;25-julio-2025;06:00;Nublado con llovizna;6 km;10;No se calcula; 94;Este  3;1009.3 / 
 Mar del Plata;25-julio-2025;08:00;Nublado con lluvia;6 km;9.6;8.3; 100;Norte  9;1012.5 / 
 Mariano Moreno;25-julio-2025;08:00;Cubierto;10 km;10.8;No se calcula; 94;Norte  3;1009.8 / 
 Merlo;25-julio-2025;08:00;Cubierto con lluvia en la hora anterior;10 km;11.2;No se calcula; 89;Norte  5;1011.6 / 
 Morón;25-julio-2025;08:00;Nublado con lluvia;5 km;11.4;No se calcula; 90;Norte  5;1010.6 / 
 Nueve de Julio;25-julio-2025;06:00;Cubierto;15 km;10.9;No se calcula; 89;Norte  3;1004.1 / 
 Olavarría;25-julio-2025;08:00;Cubierto con neblina;3.0 km;9.2;8.2; 98;Norte  7;994.2 / 
 Pehuajó;25-julio-2025;08:00;Cubierto;15 km;9.9;9.0; 93;Este  7;1003.3 / 
 Pigué;24-julio-2025;21:00;Cubierto;15 km;8.6;5.2; 78;Noreste  24;977.4 / 
 Punta Indio B.A.;24-julio-2025;21:00;Cubierto con neblina;7 km;11;No se calcula; 94;Este  13;1016.5 / 
 San Fernando;25-julio-2025;08:00;Nublado;10 km;11.6;No se calcula; 85;Norte  9;1013.2 / 
 Tandil;25-julio-2025;08:00;Cubierto con llovizna;800 mts;7.8;7.1; 91;Norte  5;993.2 / 
 Trenque Lauquen;24-julio-2025;21:00;Cubierto;15 km;11.6;No se calcula; 78;Noreste  5;1002.4 / 
 Tres Arroyos;24-julio-2025;21:00;Cubierto con neblina;6 km;9.7;8.4; 80;Norte  9;1001.7 / 
 Villa Gesell;25-julio-2025;08:00;Nublado con lluvia;5 km;9;7.0; 97;Noroeste  13;1014.9 / 
 Aeroparque Buenos Aires;25-julio-2025;08:00;Nublado con lluvia en la hora anterior;10 km;11.9;No se calcula; 88;Norte  11;1013.8 / 
 Buenos Aires;25-julio-2025;08:00;Cubierto con llovizna;6 km;12.1;No se calcula; 87;Norte  9;1011.2 / 
 Catamarca;25-julio-2025;08:00;Cubierto con niebla en la hora anterior;1.5 km;6.2;No se calcula; 94;Noreste  3;957.7 / 
 Tinogasta;25-julio-2025;06:00;Despejado;20 km;-0.8;-4.0; 74;Sudeste  9;873.9 / 
 Pcia. Roque Saenz Peña;25-julio-2025;08:00;Cubierto con niebla;800 mts;16.2;No se calcula; 95;Calma;1001.7 / 
 Resistencia;25-julio-2025;08:00;Nublado con neblina;7 km;16.6;No se calcula; 98;Este  5;1007.7 / 
 Comodoro Rivadavia;25-julio-2025;08:00;Parcialmente nublado;30 km;-1.7;-7.7; 65;Sudoeste  22;1019.3 / 
 Esquel;25-julio-2025;08:00;Nublado con nevada;8 km;-1.9;No se calcula; 98;Direcciones Variables  1;925.4 / 
 Paso De Indios;24-julio-2025;21:00;Cubierto con llovizna;15 km;5.8;4.2; 93;Sudoeste  7;950.2 / 
 Puerto Madryn;25-julio-2025;08:00;Nublado con lluvia;7 km;4.2;-1.3; 96;Sur  33;999.6 / 
 Trelew;25-julio-2025;08:00;Nublado con llovizna;10 km;4.6;-0.4; 90;Sur  29;1013 / 
 Córdoba;25-julio-2025;08:00;Cielo invisible con niebla;200 mts;8;5.7; 100;Sur  13;953.4 / 
 Córdoba Observatorio;25-julio-2025;08:00;Cielo invisible con niebla;Menor a 100 mts;8.8;8.2; 98;Sur  5;961.4 / 
 Esc. Aviación Militar;25-julio-2025;08:00;Cielo invisible con niebla;500 mts;8.2;5.7; 100;Sur  14;953.4 / 
 Laboulaye;25-julio-2025;08:00;Cubierto con neblina;5 km;9.5;No se calcula; 93;Calma;996.8 / 
 Marcos Juárez;25-julio-2025;08:00;Cubierto con neblina;10 km;11.5;No se calcula; 93;Este  1;998.8 / 
 Pilar Obs.;25-julio-2025;08:00;Cubierto con niebla;100 mts;9;No se calcula; 100;Este  3;972.2 / 
 Río Cuarto;25-julio-2025;08:00;Cielo invisible con niebla;Menor a 100 mts;7.6;5.6; 97;Oeste  11;962.6 / 
 Villa Dolores;25-julio-2025;08:00;Cubierto con neblina;5 km;7;5.6; 97;Este  7;946.8 / 
 Villa María Del Río Seco;25-julio-2025;08:00;Cubierto con neblina;4.0 km;11.4;No se calcula; 89;Calma;972.2 / 
 Corrientes;25-julio-2025;08:00;Nublado con neblina;4.0 km;16.5;No se calcula; 98;Sudeste  11;1006.6 / 
 Ituzaingó;25-julio-2025;06:00;Cubierto con neblina;3.0 km;15.4;No se calcula; 100;Calma;1004.9 / 
 Mercedes;25-julio-2025;08:00;Nublado con lluvia;10 km;15;No se calcula; 98;Norte  13;1001.9 / 
 Monte Caseros;25-julio-2025;08:00;Nublado;20 km;13.8;No se calcula; 89;Este  13;1008 / 
 Paso De Los Libres;25-julio-2025;08:00;Cubierto;10 km;14.4;No se calcula; 86;Este  9;1007.3 / 
 Concordia;25-julio-2025;08:00;Nublado;15 km;13.2;No se calcula; 93;Noreste  7;1010.2 / 
 Gualeguaychú;25-julio-2025;08:00;Nublado;15 km;11;No se calcula; 94;Norte  9;1011 / 
 Paraná;25-julio-2025;08:00;Nublado con neblina;8 km;13.9;No se calcula; 89;Norte  7;1003.8 / 
 Formosa;25-julio-2025;08:00;Algo nublado;20 km;15.2;No se calcula; 98;Sudeste  3;1006.2 / 
 Las Lomitas;25-julio-2025;08:00;Cielo invisible con niebla;100 mts;15.4;No se calcula; 97;Calma;996.9 / 
 Mount Pleasant Airport (Islas Malvinas);25-julio-2025;08:00;Cubierto;30 km;-1.6;-7.0; 87;Sudoeste  18;1003.5 / 
 La Quiaca;25-julio-2025;08:00;Despejado con humo;4.0 km;-4.2;-8.1; 61;Sur  9;674.5 / 
 Jujuy;25-julio-2025;08:00;Despejado con niebla en bancos;2.0 km;6.7;No se calcula; 94;Calma;908.2 / 
 Jujuy Universidad Nacional;25-julio-2025;08:00;Despejado;15 km;6.9;No se calcula; 86;Oeste  3;865.3 / 
 General Pico;25-julio-2025;08:00;Cubierto;20 km;9.6;9.1; 92;Oeste  5;996.1 / 
 Victorica;24-julio-2025;21:00;Cubierto;40 km;10.3;No se calcula; 81;Noreste  14;974.6 / 
 Santa Rosa;25-julio-2025;08:00;Cubierto con neblina;5 km;7;No se calcula; 95;Oeste  3;990.8 / 
 Chamical;25-julio-2025;08:00;Cubierto;20 km;8;No se calcula; 98;Calma;958.5 / 
 Chepes;24-julio-2025;21:00;Cubierto;15 km;10.1;No se calcula; 80;Calma;941.6 / 
 Chilecito;24-julio-2025;21:00;Despejado;20 km;9.6;8.7; 86;Sur  7;905 / 
 La Rioja;25-julio-2025;08:00;Cubierto con neblina;8 km;8.8;No se calcula; 97;Este  3;961.3 / 
 Malargue;25-julio-2025;08:00;Despejado;20 km;2.6;1.1; 50;Noreste  5;854.2 / 
 Mendoza;25-julio-2025;08:00;Parcialmente nublado;15 km;7.2;6.4; 83;Sur  5;931.4 / 
 Mendoza Observatorio;25-julio-2025;08:00;Algo nublado;15 km;2.7;1.3; 95;Oeste  5;917.3 / 
 San Martín (Mza);24-julio-2025;21:00;Despejado;15 km;8;No se calcula; 81;Oeste  1;934.8 / 
 San Rafael;25-julio-2025;08:00;Algo nublado;20 km;4.3;0.6; 41;Oeste  16;925.3 / 
 Uspallata;24-julio-2025;21:00;Despejado;15 km;8;No se calcula; 41;Calma;807.1 / 
 Bernardo De Irigoyen;24-julio-2025;21:00;Cubierto con neblina;10 km;13.1;No se calcula; 93;Norte  14;924 / 
 Iguazú;25-julio-2025;08:00;Parcialmente nublado;20 km;14;No se calcula; 95;Este  9;984.2 / 
 Oberá;24-julio-2025;21:00;Cubierto;10 km;16.8;No se calcula; 91;Norte  3;979.3 / 
 Posadas;25-julio-2025;08:00;Nublado;20 km;16.1;No se calcula; 95;Este  5;1000.5 / 
 Chapelco;25-julio-2025;08:00;Cubierto con lluvia;9 km;1.6;No se calcula; 96;Calma;921 / 
 Neuquén;25-julio-2025;08:00;Algo nublado;15 km;2.6;1.1; 96;Oeste  5;981.2 / 
 Bariloche;25-julio-2025;07:00;Cubierto con lluvia;7 km;1.7;-1.1; 95;Este  9;915.2 / 
 El Bolsón;24-julio-2025;21:00;Nublado con llovizna en la hora anterior;15 km;3.7;No se calcula; 90;Calma;969.3 / 
 Maquinchao;25-julio-2025;08:00;Nublado;40 km;0.6;No se calcula; 93;Calma;912.6 / 
 Río Colorado;24-julio-2025;21:00;Cubierto;15 km;11.2;No se calcula; 78;Norte  24;1001.8 / 
 San Antonio Oeste;25-julio-2025;08:00;Nublado con lluvia;25 km;7.1;2.2; 91;Sur  38;1014.9 / 
 Viedma;25-julio-2025;08:00;Parcialmente nublado;30 km;7.3;4.1; 86;Oeste  18;1009.4 / 
 Metán;24-julio-2025;21:00;Cubierto con neblina;5 km;10.4;No se calcula; 90;Noroeste  3;915.8 / 
 Orán;25-julio-2025;08:00;Cubierto;10 km;12.6;No se calcula; 95;Norte  9;969.4 / 
 Rivadavia;25-julio-2025;06:00;Cubierto;20 km;12;No se calcula; 96;Calma;986.1 / 
 Salta;25-julio-2025;08:00;Cielo invisible con niebla;Menor a 100 mts;7.2;No se calcula; 100;Oeste  3;875.8 / 
 Tartagal;24-julio-2025;21:00;Cubierto;10 km;12.8;No se calcula; 90;Sur  3;962.2 / 
 Jachal;24-julio-2025;21:00;Despejado;15 km;21.8;No se calcula; 65;Oeste  14;879.2 / 
 San Juan;25-julio-2025;08:00;Cielo invisible con niebla;100 mts;3.3;0.8; 98;Sur  9;943 / 
 San Luis;25-julio-2025;08:00;Cubierto con neblina;3.0 km;7.2;6.4; 100;Noreste  5;930.2 / 
 Santa Rosa del Conlara;25-julio-2025;08:00;Cubierto;20 km;8.8;No se calcula; 96;Calma;940.3 / 
 Villa Reynolds;25-julio-2025;08:00;Despejado con niebla;600 mts;-2;No se calcula; 97;Calma;956.2 / 
 El Calafate;25-julio-2025;08:00;Algo nublado;30 km;-8;-11.9; 94;Direcciones Variables  7;1002.1 / 
 Gobernador Gregores;24-julio-2025;21:00;Algo nublado;45 km;-4.2;No se calcula; 91;Calma;972.5 / 
 Perito Moreno;24-julio-2025;21:00;Cubierto con llovizna;10 km;1.3;-5.4; 92;Este  37;961 / 
 Puerto Deseado;25-julio-2025;08:00;Algo nublado con neblina;10 km;-2.3;-7.2; 86;Sudoeste  14;1012.2 / 
 Río Gallegos;25-julio-2025;08:00;Despejado;30 km;-5;-12.4; 89;Oeste  25;1020.9 / 
 San Julián;25-julio-2025;08:00;Despejado;30 km;-4;-11.6; 97;Oeste  29;1018.6 / 
 Santa Cruz;24-julio-2025;21:00;Parcialmente nublado con precipitación a la vista;20 km;-1.1;-7.6; 93;Sur  27;1002 / 
 Ceres;25-julio-2025;08:00;Nublado con llovizna;3.0 km;12.9;No se calcula; 95;Noroeste  3;1002.4 / 
 Rafaela;25-julio-2025;06:00;Nublado;10 km;13.1;No se calcula; 93;Noreste  7;1000.5 / 
 Reconquista;25-julio-2025;08:00;Cubierto con llovizna;1.5 km;16.4;No se calcula; 96;Noreste  14;1007.6 / 
 Rosario;25-julio-2025;08:00;Nublado;15 km;12.6;No se calcula; 86;Calma;1009.4 / 
 Santa Fe;25-julio-2025;08:00;Cubierto;12 km;14;No se calcula; 85;Este  7;1010.9 / 
 Sunchales;25-julio-2025;08:00;Cubierto con neblina;9 km;13.4;No se calcula; 97;Noreste  9;1002.1 / 
 Venado Tuerto;25-julio-2025;08:00;Cubierto con llovizna;9 km;11.4;No se calcula; 87;Calma;1007 / 
 Termas de Rio Hondo;25-julio-2025;08:00;Cubierto con llovizna;2.0 km;10.5;No se calcula; 93;Este  7;980.4 / 
 Santiago del Estero;25-julio-2025;08:00;Cubierto con llovizna;7 km;11.1;No se calcula; 96;Calma;990 / 
 Río Grande B.A.;25-julio-2025;08:00;Despejado;30 km;-2.6;-8.6; 86;Oeste  20;1015.6 / 
 Ushuaia;25-julio-2025;08:00;Algo nublado;30 km;1;-7.2; 84;Sudoeste  57;1007.6 / 
 Tucumán;25-julio-2025;08:00;Cubierto con neblina;2.5 km;8.7;No se calcula; 98;Norte  3;960.6 / 
 Base Belgrano II;25-julio-2025;06:00;Cubierto con nevada;4.0 km;-12.6;-18.1; 85;Direcciones Variables  9;947.6 / 
 Base Esperanza;25-julio-2025;06:00;Cielo invisible con ventisca alta;Menor a 100 mts;-17.1;-33.0; 79;Sudoeste  66;991.4 / 
 Base Carlini;25-julio-2025;06:00;Cubierto;10 km;-6.4;-13.7; 78;Noroeste  22;993 / 
 Base Marambio;25-julio-2025;08:00;Despejado con ventisca baja;9 km;-20.9;-35.7; 34;Sudoeste  42;971.6 / 
 Base Orcadas;25-julio-2025;06:00;Parcialmente nublado con ventisca baja;6 km;-16.8;-25.6; 94;Este  16;988.9 / 
 Base San Martín;25-julio-2025;06:00;Despejado;20 km;-14.4;No se calcula; 81;Este  3;998 / 
